W,R,AB,H,doubles,triples,HR,BB,SO,SB,CS,RA,ER,CG,IPouts,HA,HRA,BBA,SOA,E,DP,FP,attendance,singles,OBP,net_points
92,663,5568,1462,209,24,148,492,846.0,123.0,72.0,591,532,24,4416,1358,105,480,835,123,149.0,0.981,3249287.0,1081,0.32244224422442247,72
77,670,5530,1468,252,46,99,436,703.0,62.0,46.0,724,634,35,4353,1502,120,468,744,146,192.0,0.977,769206.0,1071,0.31914180355346966,-54
103,820,5553,1484,239,34,189,643,739.0,86.0,36.0,662,582,29,4392,1433,102,463,845,138,160.0,0.978,2627417.0,1022,0.3432859909619109,158
67,611,5478,1407,218,41,61,501,840.0,158.0,99.0,702,621,17,4353,1473,140,510,886,154,132.0,0.975,1192073.0,1087,0.3191169091821375,-91
83,686,5495,1424,212,35,137,506,824.0,175.0,82.0,642,566,94,4413,1347,142,521,769,130,115.0,0.9790000000000001,842259.0,1040,0.3216130644892518,44
91,728,5625,1517,272,54,117,472,708.0,140.0,62.0,639,564,25,4440,1419,87,530,889,136,136.0,0.9790000000000001,2651650.0,1074,0.326226012793177,89
83,666,5517,1469,249,38,116,452,760.0,209.0,102.0,646,580,25,4374,1422,110,451,832,137,154.0,0.978,1646757.0,1066,0.3218294521695426,20
73,591,5540,1410,195,43,67,563,791.0,239.0,73.0,654,595,19,4398,1474,97,536,728,131,157.0,0.98,1139026.0,1105,0.323283631001147,-63
59,610,5489,1359,211,35,104,483,727.0,116.0,62.0,793,709,31,4371,1565,159,540,703,149,189.0,0.977,836204.0,1009,0.30843938379102476,-183
75,573,5368,1310,199,44,80,509,840.0,100.0,58.0,634,557,27,4344,1446,92,492,811,156,124.0,0.975,1096115.0,987,0.309511655606602,-61
74,738,5608,1541,300,49,101,451,781.0,117.0,54.0,710,632,34,4341,1454,90,495,664,122,174.0,0.981,1385147.0,1091,0.3287671232876712,28
76,756,5690,1616,263,27,124,480,589.0,91.0,49.0,752,648,35,4353,1561,119,519,890,147,169.0,0.977,1198175.0,1202,0.33970826580226904,4
67,624,5571,1398,249,53,126,448,813.0,67.0,72.0,762,683,39,4398,1523,135,635,705,133,206.0,0.9790000000000001,1400327.0,970,0.30669546436285094,-138
89,739,5507,1411,215,22,146,554,869.0,151.0,77.0,702,621,15,4389,1484,126,502,813,137,186.0,0.9790000000000001,1801985.0,1028,0.3242039267447616,37
94,774,5557,1478,259,27,179,634,796.0,49.0,38.0,687,648,38,4386,1436,147,488,719,101,140.0,0.9840000000000001,1613031.0,1013,0.34114036504603457,87
89,753,5596,1536,271,31,136,547,736.0,42.0,39.0,713,651,23,4359,1557,155,478,816,121,172.0,0.981,1950124.0,1098,0.3390851375549406,40
87,786,5575,1523,266,52,136,533,866.0,136.0,58.0,710,619,30,4317,1502,99,460,753,154,173.0,0.976,1567787.0,1069,0.3366077275703995,76
73,676,5531,1436,239,46,102,460,869.0,132.0,70.0,709,630,9,4341,1510,125,452,764,132,110.0,0.9790000000000001,1249278.0,1049,0.3164747120681021,-33
61,545,5479,1375,228,34,82,470,817.0,131.0,69.0,661,594,22,4380,1414,105,570,998,128,158.0,0.98,1326528.0,1031,0.3101361573373676,-116
78,683,5559,1458,225,32,109,651,625.0,151.0,68.0,748,670,31,4404,1433,122,589,882,123,129.0,0.98,1044021.0,1092,0.3396135265700483,-65
